id,carat,cut,color,clarity,depth,table,price,x,y,z
37464,0.42,Premium,G,VS1,60.6,58.0,984,4.95,4.82,2.96
40410,0.57,Fair,F,SI1,65.8,58.0,1133,5.2,5.1,3.39
9662,1.01,Ideal,H,SI1,62.4,53.0,4642,6.47,6.42,4.02
23631,1.14,Premium,F,VVS1,59.4,59.0,11654,6.87,6.8,4.06
42378,0.43,Premium,E,VVS2,60.8,57.0,1304,4.92,4.89,2.98
45989,0.3,Good,E,SI1,63.4,56.0,526,4.23,4.25,2.69
42414,0.45,Very Good,D,VS2,62.9,58.4,1311,4.83,4.86,3.04
1328,0.7,Good,D,VS2,63.4,57.0,2960,5.6,5.67,3.57
33325,0.35,Ideal,D,SI1,61.6,56.0,827,4.53,4.49,2.78
30151,0.32,Very Good,E,SI1,63.1,56.0,720,4.39,4.36,2.76
51788,0.74,Premium,F,SI1,60.7,59.0,2415,5.85,5.82,3.54
48844,0.55,Premium,E,VS2,61.1,58.0,2030,5.3,5.28,3.23
12233,1.02,Good,D,SI1,57.2,54.0,5198,6.66,6.62,3.8
41860,0.59,Very Good,I,SI1,61.7,55.2,1257,5.39,5.41,3.33
8832,1.12,Premium,G,SI2,62.8,58.0,4478,6.62,6.57,4.14
46859,0.5,Very Good,G,VVS2,61.4,57.0,1813,5.1,5.16,3.15
951,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.08,5.12,3.17
6540,1.12,Premium,D,SI2,61.2,59.0,4071,6.7,6.66,4.09
41303,0.56,Ideal,F,SI2,61.9,55.0,1212,5.27,5.31,3.28
39667,0.42,Ideal,G,VS2,62.2,54.0,1087,4.82,4.8,2.99
19035,0.3,Ideal,E,VS2,62.1,55.0,621,4.32,4.35,2.69
15767,1.0,Premium,D,VS2,61.2,61.0,6303,6.39,6.35,3.9
23279,1.51,Very Good,F,SI1,62.1,55.0,11302,7.29,7.37,4.55
4339,1.5,Premium,H,I1,61.1,59.0,3599,7.37,7.26,4.47
25925,1.01,Good,D,IF,63.2,59.0,15081,6.34,6.38,4.02
7896,1.1,Premium,I,SI1,60.4,61.0,4312,6.73,6.69,4.05
35756,0.39,Very Good,G,VVS1,62.3,59.0,912,4.63,4.68,2.9
43763,0.53,Ideal,G,SI1,61.0,55.0,1439,5.23,5.26,3.2
4047,0.7,Ideal,D,VS1,62.8,54.0,3529,5.65,5.69,3.56
29230,0.32,Very Good,F,VS1,62.3,55.0,696,4.38,4.42,2.74
4164,0.75,Very Good,F,VVS2,61.1,55.0,3551,5.85,5.9,3.59
25634,1.51,Premium,G,VS1,60.1,58.0,14507,7.48,7.45,4.49
47329,0.23,Very Good,D,VVS2,61.4,58.0,530,3.92,3.96,2.42
15484,1.54,Premium,J,VS2,59.3,59.0,6202,7.54,7.5,4.46
12555,1.01,Ideal,F,SI1,60.0,56.0,5274,6.55,6.49,3.91
3622,0.8,Ideal,F,VS2,62.7,54.0,3429,5.91,5.95,3.72
37641,0.41,Premium,H,VS1,58.2,59.0,990,4.92,4.88,2.85
27425,2.26,Very Good,D,SI2,61.6,61.0,18028,8.47,8.38,5.19
452,0.71,Premium,E,SI1,61.3,56.0,2817,5.78,5.73,3.53
19333,1.38,Ideal,H,VS1,63.6,56.0,8037,7.05,7.0,4.47
24982,1.72,Premium,H,VS2,61.3,59.0,13486,7.69,7.72,4.72
32503,0.4,Very Good,F,SI1,63.3,57.0,798,4.68,4.73,2.98
11142,1.05,Premium,E,SI2,62.3,56.0,4939,6.54,6.47,4.05
29849,0.3,Premium,D,VS2,61.7,58.0,710,4.3,4.32,2.66
36219,0.36,Ideal,F,VS2,62.0,55.0,932,4.58,4.55,2.83
40463,0.32,Ideal,D,VVS1,61.8,56.0,1140,4.41,4.39,2.72
24222,1.75,Premium,I,VS1,60.6,60.0,12416,7.8,7.84,4.74
50693,0.57,Very Good,F,VVS2,62.6,58.0,2290,5.28,5.3,3.31
12187,1.01,Fair,E,SI1,56.8,61.0,5185,6.59,6.62,3.75
48087,0.5,Good,E,VS1,61.1,58.2,1932,5.08,5.12,3.11
18060,0.36,Premium,F,SI1,61.1,60.0,616,4.62,4.57,2.81
42418,0.54,Very Good,F,SI2,61.2,57.4,1311,5.23,5.25,3.21
18111,1.25,Premium,H,VS1,62.7,59.0,7328,6.82,6.86,4.29
52799,0.55,Ideal,F,VVS1,62.2,57.0,2569,5.25,5.27,3.27
15478,1.23,Premium,I,VS2,59.3,59.0,6199,7.13,6.97,4.18
14693,1.0,Ideal,F,VS2,62.1,57.0,5929,6.34,6.38,3.95
45007,0.54,Premium,G,VS1,61.1,60.0,1637,5.23,5.28,3.21
1597,1.0,Very Good,G,I1,62.5,62.0,3011,6.42,6.35,3.99
5581,1.0,Premium,H,SI2,61.0,61.0,3864,6.31,6.27,3.84
15792,1.24,Premium,D,SI1,59.3,60.0,6319,7.05,7.01,4.16
46466,0.7,Premium,J,VS2,62.0,62.0,1775,5.63,5.59,3.48
46590,0.64,Good,H,VS1,61.8,60.3,1786,5.47,5.53,3.4
3100,0.52,Ideal,D,VVS1,60.9,56.0,3321,5.2,5.24,3.18
12062,1.01,Ideal,F,SI2,62.4,54.0,5154,6.41,6.44,4.01
16554,1.01,Very Good,G,VS1,62.2,53.0,6613,6.48,6.54,4.05
47227,0.59,Very Good,H,VVS2,62.3,55.0,1840,5.42,5.33,3.35
24495,2.23,Premium,J,SI2,60.5,61.0,12770,8.47,8.4,5.1
48635,0.3,Good,D,SI2,60.8,65.0,536,4.29,4.26,2.6
840,0.96,Fair,F,SI2,68.2,61.0,2867,6.07,5.88,4.1
1461,0.86,Premium,F,SI2,61.8,58.0,2980,6.12,6.15,3.79
15299,1.29,Premium,I,SI1,62.1,58.0,6140,7.07,6.91,4.34
35144,0.38,Ideal,F,VS2,61.2,57.0,889,4.67,4.64,2.85
27987,0.3,Ideal,E,VS2,62.1,55.0,658,4.28,4.32,2.67
48309,0.39,Ideal,I,SI1,62.4,54.0,534,4.67,4.69,2.92
17330,1.01,Ideal,G,VS1,62.4,58.0,6951,6.43,6.39,4.0
1081,0.82,Very Good,H,SI1,63.6,56.0,2908,5.9,5.95,3.77
40644,0.42,Very Good,F,VVS1,63.0,59.0,1154,4.75,4.81,3.01
28593,0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
8062,0.27,Ideal,F,VS2,61.9,54.0,583,4.14,4.16,2.57
14080,1.2,Premium,F,SI2,62.9,57.0,5712,6.8,6.72,4.25
50578,0.56,Premium,E,VVS2,61.5,58.0,2279,5.3,5.33,3.27
45237,0.52,Very Good,H,VS1,62.2,55.0,1659,5.15,5.18,3.21
38291,0.28,Very Good,E,VS1,59.5,59.0,487,4.29,4.35,2.57
16343,1.0,Ideal,H,VVS1,61.5,59.0,6535,6.37,6.41,3.93
39915,0.54,Very Good,I,SI2,62.9,57.0,1105,5.18,5.21,3.27
3731,0.36,Very Good,I,VS1,60.9,61.0,568,4.58,4.61,2.8
51237,0.7,Ideal,I,VVS2,62.5,54.0,2353,5.68,5.71,3.56
4621,0.91,Ideal,G,SI2,62.3,56.0,3664,6.18,6.22,3.86
33079,0.42,Premium,E,SI2,58.5,60.0,814,4.94,4.91,2.88
46067,0.7,Very Good,F,I1,63.2,61.0,1736,5.57,5.48,3.49
21778,1.09,Ideal,F,VVS2,62.5,55.0,9845,6.6,6.52,4.1
20383,0.31,Good,H,VVS2,63.6,56.0,625,4.28,4.33,2.74
51325,0.31,Very Good,G,VS2,62.6,57.0,544,4.3,4.32,2.7
34190,0.33,Premium,F,VS2,61.2,58.0,854,4.5,4.45,2.74
24028,1.64,Ideal,I,VS2,60.6,57.0,12199,7.66,7.69,4.65
32450,0.43,Ideal,E,SI1,62.3,57.0,792,4.78,4.82,2.99
20701,0.31,Very Good,G,VS1,62.9,57.0,625,4.3,4.32,2.71
30833,0.33,Good,I,VVS2,63.7,56.0,743,4.4,4.36,2.79
1364,1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99
53814,0.7,Very Good,D,SI1,63.4,58.0,2734,5.63,5.66,3.58
6946,1.0,Very Good,G,SI2,62.4,60.0,4142,6.31,6.36,3.95
15608,1.21,Premium,E,SI1,60.0,60.0,6261,7.01,6.92,4.18
4121,0.91,Good,F,SI2,63.8,59.0,3539,6.04,6.09,3.87
26201,1.51,Premium,F,VS1,61.7,59.0,15581,7.33,7.29,4.51
16741,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
27858,0.32,Ideal,F,VS1,61.1,57.0,652,4.42,4.45,2.71
53020,0.76,Very Good,H,VS2,58.7,61.0,2599,5.96,5.99,3.51
32363,0.3,Very Good,F,VVS1,61.0,57.0,790,4.33,4.36,2.65
51693,0.76,Premium,E,SI2,60.0,59.0,2399,5.94,5.9,3.55
20803,1.62,Very Good,D,SI2,61.2,61.0,9034,7.53,7.6,4.63
50958,0.81,Ideal,I,SI1,62.2,57.0,2323,5.95,5.98,3.71
52117,0.71,Ideal,I,VVS2,60.6,57.0,2463,5.73,5.78,3.49
8753,1.2,Good,J,VS2,63.7,58.0,4466,6.61,6.68,4.23
10906,1.01,Ideal,I,VS2,61.3,53.0,4887,6.52,6.54,4.0
11311,1.01,Ideal,E,SI2,62.2,55.0,4984,6.4,6.43,3.99
29734,0.41,Good,D,SI1,63.4,56.0,707,4.73,4.76,3.01
10436,1.16,Very Good,I,SI1,62.7,57.0,4785,6.67,6.76,4.21
